RawFile	Plate	Position	RunOrder	SampleNo	Condition
LFQ intensity 420_S322-1014394960-P9-G4	P09	G04	595	1014394960	2
LFQ intensity 420_S322-1014395007-P9-G5	P09	G05	596	1014395007	2
LFQ intensity 420_S322-1015908440-P9-G6	P09	G06	597	1015908440	2
LFQ intensity 420_S322-1014402090-P9-G7	P09	G07	598	1014402090	2
LFQ intensity 420_S322-1015627592-P9-G8	P09	G08	599	1015627592	4
LFQ intensity 420_S322-1014397820-P9-G9	P09	G09	600	1014397820	2
LFQ intensity 420_S322-1015923865-P9-G10	P09	G10	601	1015923865	2
LFQ intensity 420_S322-1015922777-P9-G11	P09	G11	602	1015922777	3
LFQ intensity 420_S322-1015637768-P9-G12	P09	G12	603	1015637768	2
LFQ intensity 420_S322-1014402137-P9-H1	P09	H01	604	1014402137	3
LFQ intensity 420_S322-1015908710-P9-H2	P09	H02	605	1015908710	1
LFQ intensity 420_S322-1014402373-P9-H3	P09	H03	606	1014402373	3
LFQ intensity 420_S322-1014397940-P9-H4	P09	H04	607	1014397940	1
LFQ intensity 420_S322-1014394952-P9-H5	P09	H05	608	1014394952	3
LFQ intensity 420_S322-1015623489-P9-H6	P09	H06	609	1015623489	1
LFQ intensity 420_S322-1015629270-P9-H7	P09	H07	610	1015629270	1
LFQ intensity 420_S322-1015634823-P9-H8	P09	H08	611	1015634823	1
LFQ intensity 420_S322-1015624725-P9-H9	P09	H09	612	1015624725	2
LFQ intensity 420_S322-1014394944-P9-H10	P09	H10	613	1014394944	1
LFQ intensity 420_S322-1015629236-P9-H11	P09	H11	614	1015629236	1
LFQ intensity 420_S322-1015640401-P9-H12	P09	H12	615	1015640401	Pool2
LFQ intensity 424_S322-1014402046-P10-A1	P10	A01	616	1014402046	1
LFQ intensity 424_S322-1015629224-P10-A2	P10	A02	617	1015629224	1
LFQ intensity 424_S322-1015922808-P10-A3	P10	A03	618	1015922808	3
LFQ intensity 424_S322-1014401678-P10-A4	P10	A04	619	1014401678	2
LFQ intensity 424_S322-1015922887-P10-A5	P10	A05	620	1015922887	2
LFQ intensity 424_S322-1015922839-P10-A7	P10	A07	621	1015922839	3
LFQ intensity 424_S322-1015903256-P10-A8	P10	A08	622	1015903256	2
LFQ intensity 424_S322-1015629240-P10-A9	P10	A09	623	1015629240	2
LFQ intensity 424_S322-1014402103-P10-A10	P10	A10	624	1014402103	1
LFQ intensity 424_S322-1015629233-P10-A11	P10	A11	625	1015629233	1
LFQ intensity 424_S322-1015908376-P10-A12	P10	A12	626	1015908376	2
LFQ intensity 424_S322-1015923982-P10-B1	P10	B01	627	1015923982	1
LFQ intensity 424_S322-1015908002-P10-B2	P10	B02	628	1015908002	2
LFQ intensity 424_S322-1015922886-P10-B3	P10	B03	629	1015922886	1
LFQ intensity 424_S322-1015903246-P10-B4	P10	B04	630	1015903246	3
LFQ intensity 424_S322-1015922867-P10-B5	P10	B05	631	1015922867	1
LFQ intensity 424_S322-1015908715-P10-B6	P10	B06	632	1015908715	3
LFQ intensity 424_S322-1014579279-P10-B7	P10	B07	633	1014579279	1
LFQ intensity 424_S322-1015628694-P10-B8	P10	B08	634	1015628694	3
LFQ intensity 424_S322-1015923922-P10-B9	P10	B09	635	1015923922	3
LFQ intensity 424_S322-1015908040-P10-B10	P10	B10	636	1015908040	1
LFQ intensity 424_S322-1014397098-P10-B11	P10	B11	637	1014397098	3
LFQ intensity 424_S322-1015914183-P10-B12	P10	B12	638	1015914183	Pool1
LFQ intensity 424_S322-1015908730-P10-C1	P10	C01	639	1015908730	2
LFQ intensity 424_S322-1015628691-P10-C2	P10	C02	640	1015628691	3
LFQ intensity 424_S322-1015627805-P10-C3	P10	C03	641	1015627805	2
LFQ intensity 424_S322-1014402747-P10-C4	P10	C04	642	1014402747	1
LFQ intensity 424_S322-1015637664-P10-C5	P10	C05	643	1015637664	3
LFQ intensity 424_S322-1014395919-P10-C6	P10	C06	644	1014395919	3
LFQ intensity 424_S322-1014396979-P10-C7	P10	C07	645	1014396979	1
LFQ intensity 424_S322-1015631673-P10-C8	P10	C08	646	1015631673	1
LFQ intensity 424_S322-1025595759-P10-C9	P10	C09	647	1025595759	
LFQ intensity 424_S322-1015922584-P10-C10	P10	C10	648	1015922584	3
LFQ intensity 424_S322-1014402191-P10-C11	P10	C11	649	1014402191	2
LFQ intensity 424_S322-1015923948-P10-C12	P10	C12	650	1015923948	3
LFQ intensity 424_S322-1014402736-P10-D1	P10	D01	651	1014402736	2
LFQ intensity 424_S322-1015627576-P10-D3	P10	D03	652	1015627576	4
LFQ intensity 424_S322-1015908050-P10-D4	P10	D04	653	1015908050	4
LFQ intensity 424_S322-1015923963-P10-D5	P10	D05	654	1015923963	1
LFQ intensity 424_S322-1014402709-P10-D6	P10	D06	655	1014402709	3
LFQ intensity 424_S322-1014401672-P10-D7	P10	D07	656	1014401672	2
LFQ intensity 424_S322-1014579468-P10-D8	P10	D08	657	1014579468	1
LFQ intensity 424_S322-1015922928-P10-D9	P10	D09	658	1015922928	2
LFQ intensity 424_S322-1015907893-P10-D10	P10	D10	659	1015907893	2
LFQ intensity 424_S322-1015628625-P10-D11	P10	D11	660	1015628625	3
LFQ intensity 424_S322-1015639815-P10-D12	P10	D12	661	1015639815	Pool2
LFQ intensity 424_S322-1015923868-P10-E1	P10	E01	662	1015923868	2
LFQ intensity 424_S322-1015635796-P10-E2	P10	E02	663	1015635796	3
LFQ intensity 424_S322-1015631509-P10-E3	P10	E03	664	1015631509	3
LFQ intensity 424_S322-1014402178-P10-E4	P10	E04	665	1014402178	3
LFQ intensity 424_S322-1015631674-P10-E5	P10	E05	666	1015631674	2
LFQ intensity 424_S322-1015903214-P10-E6	P10	E06	667	1015903214	1
LFQ intensity 424_S322-1015908719-P10-E7	P10	E07	668	1015908719	3
LFQ intensity 424_S322-1015624745-P10-E8	P10	E08	669	1015624745	3
LFQ intensity 424_S322-1015628667-P10-E10	P10	E10	670	1015628667	2
LFQ intensity 424_S322-1015922869-P10-E11	P10	E11	671	1015922869	3
LFQ intensity 424_S322-1014396033-P10-E12	P10	E12	672	1014396033	1
LFQ intensity 424_S322-1015903191-P10-F1	P10	F01	673	1015903191	1
LFQ intensity 424_S322-1015629276-P10-F2	P10	F02	674	1015629276	2
LFQ intensity 424_S322-1015923956-P10-F4	P10	F04	675	1015923956	3
LFQ intensity 424_S322-1015627632-P10-F5	P10	F05	676	1015627632	1
LFQ intensity 424_S322-1015908054-P10-F6	P10	F06	677	1015908054	1
LFQ intensity 424_S322-1015634777-P10-F7	P10	F07	678	1015634777	2
LFQ intensity 424_S322-1014402735-P10-F8	P10	F08	679	1014402735	1
LFQ intensity 424_S322-1015907937-P10-F10	P10	F10	680	1015907937	1
LFQ intensity 424_S322-1015629256-P10-F11	P10	F11	681	1015629256	1
LFQ intensity 424_S322-1015914191-P10-F12	P10	F12	682	1015914191	Pool1
LFQ intensity 424_S322-1015923925-P10-G1	P10	G01	683	1015923925	3
LFQ intensity 424_S322-1015627578-P10-G2	P10	G02	684	1015627578	2
LFQ intensity 424_S322-1015635748-P10-G3	P10	G03	685	1015635748	1
LFQ intensity 424_S322-1015908401-P10-G4	P10	G04	686	1015908401	2
LFQ intensity 424_S322-1015908708-P10-G5	P10	G05	687	1015908708	2
LFQ intensity 424_S322-1015923945-P10-G6	P10	G06	688	1015923945	3
LFQ intensity 424_S322-1015908024-P10-G8	P10	G08	689	1015908024	3
LFQ intensity 424_S322-1015908703-P10-G9	P10	G09	690	1015908703	1
LFQ intensity 424_S322-1014579518-P10-G10	P10	G10	691	1014579518	2
LFQ intensity 424_S322-1015624694-P10-G11	P10	G11	692	1015624694	2
LFQ intensity 424_S322-1015635638-P10-G12	P10	G12	693	1015635638	4
LFQ intensity 424_S322-1015908441-P10-H3	P10	H03	694	1015908441	3
LFQ intensity 424_S322-1015903189-P10-H4	P10	H04	695	1015903189	2
LFQ intensity 424_S322-1015907991-P10-H5	P10	H05	696	1015907991	2
LFQ intensity 424_S322-1014395927-P10-H6	P10	H06	697	1014395927	3
